team_01,team_02,team_01_league,team_02_league
Mumbai,Karnataka,Indian Premier League (IPL),Domestic Indian Leagues
Sunrisers,Northern Diamonds,Indian Premier League (IPL),The Hundred (England)
Delhi,Uttarakhand,Indian Premier League (IPL),Domestic Indian Leagues
Sunrisers,Southern Vipers,Indian Premier League (IPL),The Hundred (England)
Bihar,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Delhi,Uttar Pradesh,Indian Premier League (IPL),Domestic Indian Leagues
Jharkhand,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Gujarat,Assam,Indian Premier League (IPL),Domestic Indian Leagues
Warriors,Falcons,South African T20 Leagues,International
Jammu & Kashmir,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Spirit,Warriors (FairBreak),The Hundred (England),International
Sunrisers,Thunder,Indian Premier League (IPL),The Hundred (England)
Delhi,Tamil Nadu,Indian Premier League (IPL),Domestic Indian Leagues
Andhra,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Gujarat,Tamil Nadu,Indian Premier League (IPL),Domestic Indian Leagues
Gujarat,Vidarbha,Indian Premier League (IPL),Domestic Indian Leagues
Vidarbha,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Gujarat,Himachal,Indian Premier League (IPL),Domestic Indian Leagues
Jharkhand,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Mumbai,Punjab,Indian Premier League (IPL),Domestic Indian Leagues
Mumbai,Meghalaya,Indian Premier League (IPL),Domestic Indian Leagues
Delhi,Maharashtra,Indian Premier League (IPL),Domestic Indian Leagues
South East Stars,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Falcons,Spirit,International,The Hundred (England)
Sikkim,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Jamaica,Leeward Islands,International,Caribbean Premier League (CPL)
Gujarat,Uttar Pradesh,Indian Premier League (IPL),Domestic Indian Leagues
Bengal,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Bengal,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Railways,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Western Storm,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Sunrisers,South East Stars,Indian Premier League (IPL),The Hundred (England)
Tamil Nadu,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
The Blaze,Sunrisers,The Hundred (England),Indian Premier League (IPL)
Mumbai,Uttar Pradesh,Indian Premier League (IPL),Domestic Indian Leagues
Delhi,Madhya Pradesh,Indian Premier League (IPL),Domestic Indian Leagues
Mumbai,Tamil Nadu,Indian Premier League (IPL),Domestic Indian Leagues
Mumbai,Baroda,Indian Premier League (IPL),Domestic Indian Leagues
Mumbai,Jammu & Kashmir,Indian Premier League (IPL),Domestic Indian Leagues
Rajasthan,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Sunrisers,The Blaze,Indian Premier League (IPL),The Hundred (England)
Trinidad and Tobago,Leeward Islands,International,Caribbean Premier League (CPL)
Tamil Nadu,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
Andhra,Gujarat,Domestic Indian Leagues,Indian Premier League (IPL)
Mizoram,Mumbai,Domestic Indian Leagues,Indian Premier League (IPL)
Karnataka,Delhi,Domestic Indian Leagues,Indian Premier League (IPL)
